row,col,r,g,b,hex
0,0,93,62,31,#5D3E1F
0,1,96,64,31,#60401F
0,2,98,67,33,#624321
0,3,96,66,32,#604220
0,4,93,63,30,#5D3F1E
0,5,90,59,31,#5A3B1F
0,6,88,58,29,#583A1D
0,7,89,59,31,#593B1F
0,8,89,59,31,#593B1F
0,9,88,58,29,#583A1D
0,10,86,57,25,#563919
0,11,87,59,27,#573B1B
0,12,90,61,29,#5A3D1D
0,13,91,62,31,#5B3E1F
0,14,79,50,23,#4F3217
0,15,169,139,93,#A98B5D
0,16,253,226,148,#FDE294
0,17,253,220,143,#FDDC8F
0,18,253,221,144,#FDDD90
0,19,253,219,145,#FDDB91
0,20,255,223,146,#FFDF92
0,21,231,202,140,#E7CA8C
0,22,201,176,130,#C9B082
0,23,202,180,131,#CAB483
0,24,202,179,132,#CAB384
0,25,200,175,131,#C8AF83
0,26,234,204,140,#EACC8C
0,27,255,223,145,#FFDF91
0,28,253,219,146,#FDDB92
0,29,253,220,146,#FDDC92
0,30,254,221,142,#FEDD8E
0,31,248,220,145,#F8DC91
0,32,177,150,91,#B1965B
0,33,132,91,34,#845B22
0,34,143,101,40,#8F6528
0,35,142,100,41,#8E6429
0,36,141,99,41,#8D6329
0,37,141,99,40,#8D6328
0,38,141,99,44,#8D632C
0,39,141,98,44,#8D622C
0,40,141,99,41,#8D6329
0,41,141,99,41,#8D6329
0,42,141,99,43,#8D632B
0,43,140,98,42,#8C622A
0,44,140,95,41,#8C5F29
0,45,128,87,37,#805725
0,46,104,71,33,#684721
0,47,85,56,28,#55381C
1,0,99,67,35,#634323
1,1,103,67,37,#674325
1,2,104,71,37,#684725
1,3,103,70,36,#674624
1,4,101,67,36,#654324
1,5,96,65,34,#604122
1,6,95,64,32,#5F4020
1,7,93,64,31,#5D401F
1,8,93,63,30,#5D3F1E
1,9,91,62,31,#5B3E1F
1,10,90,60,31,#5A3C1F
1,11,90,60,29,#5A3C1D
1,12,93,64,29,#5D401D
1,13,84,55,26,#54371A
1,14,157,124,82,#9D7C52
1,15,255,224,150,#FFE096
1,16,251,223,145,#FBDF91
1,17,251,221,146,#FBDD92
1,18,251,221,145,#FBDD91
1,19,252,220,146,#FCDC92
1,20,255,224,148,#FFE094
1,21,229,199,140,#E5C78C
1,22,201,174,131,#C9AE83
1,23,204,178,132,#CCB284
1,24,202,180,132,#CAB484
1,25,198,176,131,#C6B083
1,26,222,196,138,#DEC48A
1,27,255,226,147,#FFE293
1,28,252,221,147,#FCDD93
1,29,254,220,146,#FEDC92
1,30,253,219,145,#FDDB91
1,31,255,221,146,#FFDD92
1,32,254,228,152,#FEE498
1,33,181,153,94,#B5995E
1,34,135,94,39,#875E27
1,35,145,102,47,#91662F
1,36,143,100,47,#8F642F
1,37,143,100,46,#8F642E
1,38,142,99,46,#8E632E
1,39,142,99,47,#8E632F
1,40,142,99,46,#8E632E
1,41,142,99,46,#8E632E
1,42,144,98,45,#90622D
1,43,141,98,45,#8D622D
1,44,137,94,41,#895E29
1,45,121,81,36,#795124
1,46,99,67,32,#634320
1,47,85,56,27,#55381B
2,0,107,73,38,#6B4926
2,1,118,79,43,#764F2B
2,2,129,89,48,#815930
2,3,126,86,48,#7E5630
2,4,115,76,42,#734C2A
2,5,109,76,40,#6D4C28
2,6,106,72,36,#6A4824
2,7,102,69,36,#664524
2,8,100,69,35,#644523
2,9,99,69,35,#634523
2,10,98,67,35,#624323
2,11,97,66,33,#614221
2,12,88,58,27,#583A1B
2,13,127,93,60,#7F5D3C
2,14,243,205,138,#F3CD8A
2,15,255,223,148,#FFDF94
2,16,252,220,145,#FCDC91
2,17,252,223,147,#FCDF93
2,18,254,225,148,#FEE194
2,19,255,222,147,#FFDE93
2,20,252,220,145,#FCDC91
2,21,222,196,135,#DEC487
2,22,200,175,131,#C8AF83
2,23,203,178,132,#CBB284
2,24,203,178,132,#CBB284
2,25,201,177,132,#C9B184
2,26,210,184,132,#D2B884
2,27,244,213,141,#F4D58D
2,28,248,219,143,#F8DB8F
2,29,255,222,147,#FFDE93
2,30,255,222,148,#FFDE94
2,31,255,220,146,#FFDC92
2,32,253,221,145,#FDDD91
2,33,255,230,154,#FFE69A
2,34,171,141,86,#AB8D56
2,35,140,97,42,#8C612A
2,36,149,106,49,#956A31
2,37,148,106,48,#946A30
2,38,146,104,47,#92682F
2,39,146,104,46,#92682E
2,40,147,104,47,#93682F
2,41,146,104,47,#92682F
2,42,147,103,47,#93672F
2,43,143,100,44,#8F642C
2,44,133,92,41,#855C29
2,45,113,75,36,#714B24
2,46,99,66,32,#634220
2,47,91,62,32,#5B3E20
3,0,114,78,41,#724E29
3,1,130,90,48,#825A30
3,2,141,99,48,#8D6330
3,3,139,97,49,#8B6131
3,4,125,85,43,#7D552B
3,5,122,85,45,#7A552D
3,6,116,79,41,#744F29
3,7,113,76,42,#714C2A
3,8,110,75,40,#6E4B28
3,9,108,75,38,#6C4B26
3,10,106,73,37,#6A4925
3,11,101,69,35,#654523
3,12,98,67,37,#624325
3,13,198,158,106,#C69E6A
3,14,255,223,147,#FFDF93
3,15,254,219,146,#FEDB92
3,16,253,220,145,#FDDC91
3,17,248,218,142,#F8DA8E
3,18,235,206,137,#EBCE89
3,19,219,193,133,#DBC185
3,20,207,184,129,#CFB881
3,21,201,179,130,#C9B382
3,22,201,179,132,#C9B384
3,23,201,179,132,#C9B384
3,24,203,178,132,#CBB284
3,25,203,178,132,#CBB284
3,26,203,178,131,#CBB283
3,27,202,178,129,#CAB281
3,28,208,184,130,#D0B882
3,29,220,194,135,#DCC287
3,30,240,208,140,#F0D08C
3,31,252,220,146,#FCDC92
3,32,252,220,146,#FCDC92
3,33,255,223,147,#FFDF93
3,34,238,210,142,#EED28E
3,35,145,111,59,#916F3B
3,36,149,106,46,#956A2E
3,37,151,109,49,#976D31
3,38,150,108,49,#966C31
3,39,150,108,49,#966C31
3,40,151,109,49,#976D31
3,41,150,109,49,#966D31
3,42,150,108,50,#966C32
3,43,147,106,46,#936A2E
3,44,135,95,44,#875F2C
3,45,121,83,42,#79532A
3,46,121,84,41,#795429
3,47,120,85,42,#78552A
4,0,115,77,43,#734D2B
4,1,126,87,46,#7E572E
4,2,130,91,45,#825B2D
4,3,136,94,48,#885E30
4,4,133,92,46,#855C2E
4,5,123,84,43,#7B542B
4,6,121,81,44,#79512C
4,7,120,81,43,#78512B
4,8,117,80,43,#75502B
4,9,116,81,44,#74512C
4,10,116,80,44,#74502C
4,11,101,70,35,#654623
4,12,141,104,68,#8D6844
4,13,235,197,130,#EBC582
4,14,254,223,148,#FEDF94
4,15,254,219,146,#FEDB92
4,16,251,219,144,#FBDB90
4,17,212,187,131,#D4BB83
4,18,197,175,130,#C5AF82
4,19,199,177,132,#C7B184
4,20,200,178,132,#C8B284
4,21,201,179,132,#C9B384
4,22,201,179,132,#C9B384
4,23,201,179,132,#C9B384
4,24,201,179,132,#C9B384
4,25,201,179,132,#C9B384
4,26,201,179,132,#C9B384
4,27,201,179,133,#C9B385
4,28,200,178,133,#C8B285
4,29,196,174,129,#C4AE81
4,30,205,181,132,#CDB584
4,31,246,218,145,#F6DA91
4,32,254,222,146,#FEDE92
4,33,252,218,144,#FCDA90
4,34,255,229,152,#FFE598
4,35,187,156,101,#BB9C65
4,36,145,103,47,#91672F
4,37,155,114,54,#9B7236
4,38,154,112,53,#9A7035
4,39,153,112,53,#997035
4,40,153,112,52,#997034
4,41,154,112,51,#9A7033
4,42,154,112,52,#9A7034
4,43,152,111,51,#986F33
4,44,145,107,50,#916B32
4,45,143,102,50,#8F6632
4,46,149,107,50,#956B32
4,47,143,103,48,#8F6730
5,0,118,81,45,#76512D
5,1,130,89,46,#82592E
5,2,142,100,49,#8E6431
5,3,154,109,55,#9A6D37
5,4,149,105,51,#956933
5,5,134,94,47,#865E2F
5,6,128,88,45,#80582D
5,7,125,86,44,#7D562C
5,8,122,86,43,#7A562B
5,9,122,86,45,#7A562D
5,10,124,84,43,#7C542B
5,11,112,78,44,#704E2C
5,12,182,140,94,#B68C5E
5,13,249,212,140,#F9D48C
5,14,254,222,147,#FEDE93
5,15,252,220,146,#FCDC92
5,16,255,220,146,#FFDC92
5,17,241,212,145,#F1D491
5,18,205,182,134,#CDB686
5,19,200,178,131,#C8B283
5,20,202,180,132,#CAB484
5,21,201,179,132,#C9B384
5,22,201,179,132,#C9B384
5,23,201,179,132,#C9B384
5,24,204,177,132,#CCB184
5,25,202,179,132,#CAB384
5,26,201,179,132,#C9B384
5,27,201,180,132,#C9B484
5,28,200,178,131,#C8B283
5,29,205,181,132,#CDB584
5,30,240,211,147,#F0D393
5,31,255,222,147,#FFDE93
5,32,254,220,146,#FEDC92
5,33,251,220,145,#FBDC91
5,34,255,228,150,#FFE496
5,35,220,192,129,#DCC081
5,36,151,113,57,#977139
5,37,162,118,57,#A27639
5,38,160,118,58,#A0763A
5,39,159,118,57,#9F7639
5,40,160,117,57,#A07539
5,41,161,116,57,#A17439
5,42,161,116,57,#A17439
5,43,161,116,57,#A17439
5,44,160,116,57,#A07439
5,45,160,115,56,#A07338
5,46,162,117,54,#A27536
5,47,150,110,51,#966E33
6,0,128,89,46,#80592E
6,1,148,105,49,#946931
6,2,166,118,58,#A6763A
6,3,178,131,65,#B28341
6,4,169,124,60,#A97C3C
