frame_id,row,col,value
ground_01,0,3,#262626
ground_01,0,4,#262626
ground_01,0,5,#262626
ground_01,0,6,#262626
ground_01,0,7,#262626
ground_01,0,8,#262626
ground_01,0,9,#262626
ground_01,0,10,#262626
ground_01,0,11,#262626
ground_01,0,12,#262626
ground_01,1,2,#262626
ground_01,1,3,#262626
ground_01,1,4,#595959
ground_01,1,5,#595959
ground_01,1,6,#595959
ground_01,1,7,#262626
ground_01,1,8,#262626
ground_01,1,9,#595959
ground_01,1,10,#595959
ground_01,1,11,#595959
ground_01,1,12,#262626
ground_01,1,13,#262626
ground_01,2,2,#262626
ground_01,2,3,#595959
ground_01,2,4,#8C8C8C
ground_01,2,5,#8C8C8C
ground_01,2,6,#595959
ground_01,2,7,#262626
ground_01,2,8,#262626
ground_01,2,9,#595959
ground_01,2,10,#8C8C8C
ground_01,2,11,#8C8C8C
ground_01,2,12,#595959
ground_01,2,13,#262626
ground_01,3,2,#262626
ground_01,3,3,#595959
ground_01,3,4,#8C8C8C
ground_01,3,5,#8C8C8C
ground_01,3,6,#595959
ground_01,3,7,#262626
ground_01,3,8,#262626
ground_01,3,9,#595959
ground_01,3,10,#8C8C8C
ground_01,3,11,#8C8C8C
ground_01,3,12,#595959
ground_01,3,13,#262626
ground_01,4,2,#262626
ground_01,4,3,#FFFFFF
ground_01,4,4,#FFFFFF
ground_01,4,5,#FFFFFF
ground_01,4,6,#FFFFFF
ground_01,4,7,#262626
ground_01,4,8,#262626
ground_01,4,9,#FFFFFF
ground_01,4,10,#FFFFFF
ground_01,4,11,#FFFFFF
ground_01,4,12,#FFFFFF
ground_01,4,13,#262626
ground_01,5,2,#262626
ground_01,5,3,#FFFFFF
ground_01,5,4,#FFFFFF
ground_01,5,5,#FFFFFF
ground_01,5,6,#FFFFFF
ground_01,5,7,#262626
ground_01,5,8,#262626
ground_01,5,9,#FFFFFF
ground_01,5,10,#FFFFFF
ground_01,5,11,#FFFFFF
ground_01,5,12,#FFFFFF
ground_01,5,13,#262626
ground_01,6,2,#262626
ground_01,6,3,#FFFFFF
ground_01,6,4,#262626
ground_01,6,5,#262626
ground_01,6,6,#262626
ground_01,6,7,#FFFFFF
ground_01,6,8,#FFFFFF
ground_01,6,9,#262626
ground_01,6,10,#262626
ground_01,6,11,#262626
ground_01,6,12,#FFFFFF
ground_01,6,13,#262626
ground_01,7,2,#262626
ground_01,7,3,#8C8C8C
ground_01,7,4,#8C8C8C
ground_01,7,5,#4FC3F7
ground_01,7,6,#262626
ground_01,7,7,#FFFFFF
ground_01,7,8,#FFFFFF
ground_01,7,9,#262626
ground_01,7,10,#4FC3F7
ground_01,7,11,#8C8C8C
ground_01,7,12,#8C8C8C
ground_01,7,13,#262626
ground_01,7,14,#262626
ground_01,7,15,#262626
ground_01,8,2,#262626
ground_01,8,3,#8C8C8C
ground_01,8,4,#8C8C8C
ground_01,8,5,#FFFFFF
ground_01,8,6,#FFFFFF
ground_01,8,7,#262626
ground_01,8,8,#262626
ground_01,8,9,#FFFFFF
ground_01,8,10,#FFFFFF
ground_01,8,11,#8C8C8C
ground_01,8,12,#8C8C8C
